id,code,name,city,state,longitude,latitude
60,CMH,PORT COLUMBUS INTERNATIONAL AIRPORT,COLUMBUS,OH,-82.891889,39.997972
61,CMX,HOUGHTON COUNTY MEMORIAL AIRPORT,HANCOCK,MI,-88.489061,47.168417
62,COD,YELLOWSTONE REGIONAL AIRPORT,CODY,WY,-109.023806,44.520194
63,COS,CITY OF COLORADO SPRINGS MUNICIPAL AIRPORT,COLORADO SPRINGS,CO,-104.700778,38.805806
64,CPR,CASPER/NATRONA COUNTY INTERNATIONAL AIRPORT,CASPER,WY,-106.464417,42.908
65,CRP,CORPUS CHRISTI INTERNATIONAL AIRPORT,CORPUS CHRISTI,TX,-97.501222,27.770361
66,CRW,YEAGER AIRPORT,CHARLESTON,WV,-81.593194,38.373139
67,CSG,COLUMBUS METROPOLITAN AIRPORT,COLUMBUS,GA,-84.938861,32.516333
68,CVG,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,COVINGTON,KY,-84.667822,39.048837
69,CWA,CENTRAL WISCONSIN AIRPORT,MOSINEE,WI,-89.666778,44.777624
70,DAB,DAYTONA BEACH INTERNATIONAL AIRPORT,DAYTONA BEACH,FL,-81.058056,29.179917
71,DAL,DALLAS LOVE FIELD AIRPORT,DALLAS,TX,-96.851778,32.847111
72,DAY,JAMES M COX DAYTON INTERNATIONAL AIRPORT,DAYTON,OH,-84.21941,39.902251
73,DCA,RONALD REAGAN WASHINGTON NATIONAL AIRPORT,WASHINGTON,VA,-77.037722,38.852083
74,DEN,DENVER INTERNATIONAL AIRPORT,DENVER,CO,-104.673177,39.861656
75,DFW,DALLAS/FORT WORTH INTERNATIONAL AIRPORT,DALLAS-FORT WORTH,TX,-97.037996,32.896828
76,DHN,DOTHAN REGIONAL AIRPORT,DOTHAN,AL,-85.449479,31.321021
77,DLH,DULUTH INTERNATIONAL AIRPORT,DULUTH,MN,-92.193639,46.842083
78,DRO,DURANGO-LA PLATA COUNTY AIRPORT,DURANGO,CO,-107.753769,37.151517
79,DSM,DES MOINES INTERNATIONAL AIRPORT,DES MOINES,IA,-93.663083,41.533972
80,DTW,DETROIT METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,MI,-83.353389,42.212444
81,DVL,DEVILS LAKE REGIONAL AIRPORT,DEVILS LAKE,ND,-98.908333,48.114583
82,EAU,CHIPPEWA VALLEY REGIONAL AIRPORT,EAU CLAIRE,WI,-91.484255,44.865805
83,ECP,NORTHWEST FLORIDA BEACHES INTERNATIONAL AIRPORT,PANAMA CITY,FL,-85.79427,30.352934
84,EGE,EAGLE COUNTY REGIONAL AIRPORT,EAGLE,CO,-106.915935,39.642761
85,EKO,ELKO REGIONAL AIRPORT,ELKO,NV,-115.791694,40.824917
86,ELM,ELMIRA/CORNING REGIONAL AIRPORT,ELMIRA/CORNING,NY,-76.891611,42.159889
87,ELP,EL PASO INTERNATIONAL AIRPORT,EL PASO,TX,-106.377556,31.80725
88,ERI,ERIE INTERNATIONAL/TOM RIDGE FIELD,ERIE,PA,-80.176216,42.082021
89,ESC,DELTA COUNTY AIRPORT,ESCANABA,MI,-87.093722,45.722667
90,EUG,MAHLON SWEET FIELD AIRPORT,EUGENE,OR,-123.211972,44.124583
91,EVV,EVANSVILLE REGIONAL AIRPORT,EVANSVILLE,IN,-87.530861,38.038417
92,EWN,COASTAL CAROLINA REGIONAL AIRPORT,NEW BERN,NC,-77.042944,35.072972
93,EWR,NEWARK LIBERTY INTERNATIONAL AIRPORT,NEWARK,NJ,-74.168667,40.6925
94,EYW,KEY WEST INTERNATIONAL AIRPORT,KEY WEST,FL,-81.759556,24.556111
95,FAI,FAIRBANKS INTERNATIONAL AIRPORT,FAIRBANKS,AK,-147.856448,64.81511
96,FAR,HECTOR INTERNATIONAL AIRPORT,FARGO,ND,-96.815764,46.92065
97,FAT,FRESNO YOSEMITE INTERNATIONAL AIRPORT,FRESNO,CA,-119.718139,36.776194
98,FAY,FAYETTEVILLE REGIONAL/GRANNIS FIELD,FAYETTEVILLE,NC,-78.880278,34.991222
99,FCA,GLACIER PARK INTERNATIONAL AIRPORT,KALISPELL,MT,-114.256,48.310472
100,FLG,FLAGSTAFF PULLIAM AIRPORT,FLAGSTAFF,AZ,-111.66925,35.140306
101,FLL,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL AIRPORT,FORT LAUDERDALE,FL,-80.15275,26.072583
102,FNT,BISHOP INTERNATIONAL AIRPORT,FLINT,MI,-83.743667,42.965417
103,FSD,JOE FOSS FIELD AIRPORT,SIOUX FALLS,SD,-96.741914,43.582013
104,FSM,FORT SMITH REGIONAL AIRPORT,FORT SMITH,AR,-94.367444,35.336583
105,FWA,FORT WAYNE INTERNATIONAL AIRPORT,FORT WAYNE,IN,-85.195167,40.978472
106,GCC,GILLETTE-CAMPBELL COUNTY AIRPORT,GILLETTE,WY,-105.539361,44.348917
107,GCK,GARDEN CITY REGIONAL AIRPORT,GARDEN CITY,KS,-100.724417,37.927528
108,GEG,SPOKANE INTERNATIONAL AIRPORT,SPOKANE,WA,-117.533833,47.619861
109,GFK,GRAND FORKS INTERNATIONAL AIRPORT,GRAND FORKS,ND,-97.173781,47.947267
110,GJT,GRAND JUNCTION REGIONAL AIRPORT,GRAND JUNCTION,CO,-108.526735,39.122413
111,GNV,GAINESVILLE REGIONAL AIRPORT,GAINESVILLE,FL,-82.271778,29.690056
112,GPT,GULFPORT-BILOXI INTERNATIONAL AIRPORT,GULFPORT,MS,-89.070097,30.407269
113,GRB,AUSTIN STRAUBEL INTERNATIONAL AIRPORT,GREEN BAY,WI,-88.129722,44.484639
114,GRI,CENTRAL NEBRASKA REGIONAL AIRPORT,GRAND ISLAND,NE,-98.309639,40.967543
115,GRK,ROBERT GRAY ARMY AIRFIELD,FORT HOOD/KILLEEN,TX,-97.828917,31.06725
116,GRR,GERALD R. FORD INTERNATIONAL AIRPORT,GRAND RAPIDS,MI,-85.522806,42.880833
117,GSO,PIEDMONT TRIAD INTERNATIONAL AIRPORT,GREENSBORO,NC,-79.941123,36.101326
118,GSP,GREENVILLE SPARTANBURG INTERNATIONAL AIRPORT,GREER,SC,-82.218861,34.895667
119,GTF,GREAT FALLS INTERNATIONAL AIRPORT,GREAT FALLS,MT,-111.37061,47.482654
120,GTR,GOLDEN TRIANGLE REGIONAL AIRPORT,COLUMBUS/W POINT/STARKVILLE,MS,-88.591361,33.450333
121,GUC,GUNNISON-CRESTED BUTTE REGIONAL AIRPORT,GUNNISON,CO,-106.933028,38.533944
122,GUM,ANTONIO B WON PAT INTERNATIONAL AIRPORT,GUAM,GU,144.79796,13.485645
123,HDN,YAMPA VALLEY AIRPORT,HAYDEN,CO,-107.217667,40.481167
124,HIB,CHISHOLM-HIBBING AIRPORT,HIBBING,MN,-92.838972,47.386583
125,HLN,HELENA REGIONAL AIRPORT,HELENA,MT,-111.98275,46.606806
126,HNL,HONOLULU INTERNATIONAL AIRPORT,HONOLULU,HI,-157.922429,21.318681
127,HOB,LEA COUNTY REGIONAL AIRPORT,HOBBS,NM,-103.217028,32.687528
128,HOU,WILLIAM P HOBBY AIRPORT,HOUSTON,TX,-95.278889,29.645419
129,HPN,WESTCHESTER COUNTY AIRPORT,WHITE PLAINS,NY,-73.707556,41.066944
130,HRL,VALLEY INTERNATIONAL AIRPORT,HARLINGEN,TX,-97.654389,26.2285
131,HSV,HUNTSVILLE INTERNATIONAL AIRPORT-CARL T JONES FIELD,HUNTSVILLE,AL,-86.775056,34.637194
132,HYS,HAYS REGIONAL AIRPORT,HAYS,KS,-99.273167,38.842222
133,IAD,WASHINGTON DULLES INTERNATIONAL AIRPORT,WASHINGTON,VA,-77.459944,38.947444
134,IAG,NIAGARA FALLS INTERNATIONAL AIRPORT,NIAGARA FALLS,NY,-78.946194,43.107333
135,IAH,GEORGE BUSH INTERCONTINENTAL/HOUSTON AIRPORT,HOUSTON,TX,-95.341442,29.984434
136,ICT,WICHITA MID-CONTINENT AIRPORT,WICHITA,KS,-97.433056,37.649944
137,IDA,IDAHO FALLS REGIONAL AIRPORT,IDAHO FALLS,ID,-112.07075,43.513722
138,ILM,WILMINGTON INTERNATIONAL AIRPORT,WILMINGTON,NC,-77.902558,34.270603
139,IMT,FORD AIRPORT,IRON MOUNTAIN KINGSFORD,MI,-88.114556,45.818361
140,IND,INDIANAPOLIS INTERNATIONAL AIRPORT,INDIANAPOLIS,IN,-86.294661,39.717299
141,INL,FALLS INTERNATIONAL AIRPORT,INTERNATIONAL FALLS,MN,-93.402167,48.565583
142,ISN,SLOULIN FIELD INTERNATIONAL AIRPORT,WILLISTON,ND,-103.642347,48.177939
143,ISP,LONG ISLAND MAC ARTHUR AIRPORT,ISLIP,NY,-73.100222,40.79525
144,ITH,ITHACA TOMPKINS REGIONAL AIRPORT,ITHACA,NY,-76.458722,42.491361
145,ITO,HILO INTERNATIONAL AIRPORT,HILO,HI,-155.04847,19.720263
146,JAC,JACKSON HOLE AIRPORT,JACKSON,WY,-110.73775,43.607333
147,JAN,JACKSON-EVERS INTERNATIONAL AIRPORT,JACKSON,MS,-90.075889,32.311167
148,JAX,JACKSONVILLE INTERNATIONAL AIRPORT,JACKSONVILLE,FL,-81.687861,30.494056
149,JFK,JOHN F KENNEDY INTERNATIONAL AIRPORT,NEW YORK,NY,-73.778926,40.639751
150,JMS,JAMESTOWN REGIONAL AIRPORT,JAMESTOWN,ND,-98.678194,46.929722
151,JNU,JUNEAU INTERNATIONAL AIRPORT,JUNEAU,AK,-134.576278,58.354972
152,KOA,KONA INTERNATIONAL AT KEAHOLE AIRPORT,KAILUA/KONA,HI,-156.045631,19.738766
153,KTN,KETCHIKAN INTERNATIONAL AIRPORT,KETCHIKAN,AK,-131.711219,55.354075
154,LAN,CAPITAL CITY AIRPORT,LANSING,MI,-84.586194,42.778639
155,LAR,LARAMIE REGIONAL AIRPORT,LARAMIE,WY,-105.675,41.312056
156,LAS,MC CARRAN INTERNATIONAL AIRPORT,LAS VEGAS,NV,-115.15225,36.080056
157,LAW,LAWTON-FORT SILL REGIONAL AIRPORT,LAWTON,OK,-98.416637,34.567714
158,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,CA,-118.407161,33.942522
159,LBB,LUBBOCK PRESTON SMITH INTERNATIONAL AIRPORT,LUBBOCK,TX,-101.822778,33.663639
160,LBE,ARNOLD PALMER REGIONAL AIRPORT,LATROBE,PA,-79.40675,40.274611
161,LCH,LAKE CHARLES REGIONAL AIRPORT,LAKE CHARLES,LA,-93.223417,30.126083
162,LEX,BLUE GRASS AIRPORT,LEXINGTON,KY,-84.605889,38.0365
163,LFT,LAFAYETTE REGIONAL AIRPORT,LAFAYETTE,LA,-91.987611,30.20525
164,LGA,LA GUARDIA AIRPORT,NEW YORK,NY,-73.872611,40.77725
165,LGB,LONG BEACH /DAUGHERTY FIELD/ AIRPORT,LONG BEACH,CA,-118.151611,33.817722
166,LIH,LIHUE AIRPORT,LIHUE,HI,-159.338958,21.975983
167,LIT,ADAMS FIELD AIRPORT,LITTLE ROCK,AR,-92.224306,34.729444
168,LNK,LINCOLN AIRPORT,LINCOLN,NE,-96.759121,40.850891
169,LRD,LAREDO INTERNATIONAL AIRPORT,LAREDO,TX,-99.461533,27.543799
170,LSE,LA CROSSE MUNICIPAL AIRPORT,LA CROSSE,WI,-91.256638,43.879266
171,LWS,LEWISTON-NEZ PERCE COUNTY AIRPORT,LEWISTON,ID,-117.015389,46.3745
172,MAF,MIDLAND INTERNATIONAL AIRPORT,MIDLAND,TX,-102.201914,31.942528
173,MBS,MBS INTERNATIONAL AIRPORT,SAGINAW,MI,-84.079639,43.532917
174,MCI,KANSAS CITY INTERNATIONAL AIRPORT,KANSAS CITY,MO,-94.713906,39.297605
175,MCO,ORLANDO INTERNATIONAL AIRPORT,ORLANDO,FL,-81.308993,28.429394
176,MDT,HARRISBURG INTERNATIONAL AIRPORT,HARRISBURG,PA,-76.763404,40.193495
177,MDW,CHICAGO MIDWAY INTERNATIONAL AIRPORT,CHICAGO,IL,-87.752417,41.785972
178,MEI,KEY FIELD AIRPORT,MERIDIAN,MS,-88.751868,32.332624
179,MEM,MEMPHIS INTERNATIONAL AIRPORT,MEMPHIS,TN,-89.976667,35.042417
180,MFE,MC ALLEN MILLER INTERNATIONAL AIRPORT,MC ALLEN,TX,-98.238611,26.175833
181,MFR,ROGUE VALLEY INTERNATIONAL - MEDFORD AIRPORT,MEDFORD,OR,-122.8735,42.374222
182,MGM,MONTGOMERY REGIONAL (DANNELLY FIELD) AIRPORT,MONTGOMERY,AL,-86.393972,32.300639
183,MHT,MANCHESTER AIRPORT,MANCHESTER,NH,-71.435739,42.932804
184,MIA,MIAMI INTERNATIONAL AIRPORT,MIAMI,FL,-80.290116,25.795365
185,MKE,GENERAL MITCHELL INTERNATIONAL AIRPORT,MILWAUKEE,WI,-87.89673,42.947211
186,MKG,MUSKEGON COUNTY AIRPORT,MUSKEGON,MI,-86.235439,43.167672
187,MLB,MELBOURNE INTERNATIONAL AIRPORT,MELBOURNE,FL,-80.645257,28.102753
188,MLI,QUAD CITY INTERNATIONAL AIRPORT,MOLINE,IL,-90.50752,41.448286
189,MLU,MONROE REGIONAL AIRPORT,MONROE,LA,-92.037688,32.510866
190,MMH,MAMMOTH YOSEMITE AIRPORT,MAMMOTH LAKES,CA,-118.83875,37.624056
191,MOB,MOBILE REGIONAL AIRPORT,MOBILE,AL,-88.242833,30.691417
192,MOT,MINOT INTERNATIONAL AIRPORT,MINOT,ND,-101.278028,48.257639
193,MQT,SAWYER INTERNATIONAL AIRPORT,MARQUETTE,MI,-87.395361,46.353639
194,MRY,MONTEREY PENINSULA AIRPORT,MONTEREY,CA,-121.842944,36.587
195,MSN,DANE COUNTY REGIONAL-TRUAX FIELD,MADISON,WI,-89.337514,43.139858
196,MSO,MISSOULA INTERNATIONAL AIRPORT,MISSOULA,MT,-114.090556,46.916306
197,MSP,MINNEAPOLIS-ST PAUL INTERNATIONAL/WOLD-CHAMBERLAIN AIRPORT,MINNEAPOLIS,MN,-93.221766,44.881957
198,MSY,LOUIS ARMSTRONG NEW ORLEANS INTERNATIONAL AIRPORT,NEW ORLEANS,LA,-90.258028,29.993389
199,MTJ,MONTROSE REGIONAL AIRPORT,MONTROSE,CO,-107.894243,38.509796
200,MYR,MYRTLE BEACH INTERNATIONAL AIRPORT,MYRTLE BEACH,SC,-78.928333,33.67975
201,OAJ,ALBERT J ELLIS AIRPORT,JACKSONVILLE,NC,-77.612138,34.829164
202,OAK,METROPOLITAN OAKLAND INTERNATIONAL AIRPORT,OAKLAND,CA,-122.220722,37.721278
203,OGG,KAHULUI AIRPORT,KAHULUI,HI,-156.430458,20.89865
204,OKC,WILL ROGERS WORLD AIRPORT,OKLAHOMA CITY,OK,-97.600734,35.393088
205,OMA,EPPLEY AIRFIELD,OMAHA,NE,-95.894056,41.303167
206,OME,NOME AIRPORT,NOME,AK,-165.445246,64.512202
207,ONT,ONTARIO INTERNATIONAL AIRPORT,ONTARIO,CA,-117.601194,34.056
208,ORD,CHICAGO O'HARE INTERNATIONAL AIRPORT,CHICAGO,IL,-87.906667,41.980917
209,ORF,NORFOLK INTERNATIONAL AIRPORT,NORFOLK,VA,-76.201222,36.894611
210,ORH,WORCESTER REGIONAL AIRPORT,WORCESTER,MA,-71.875709,42.267339
211,OTH,SOUTHWEST OREGON REGIONAL AIRPORT,NORTH BEND,OR,-124.247028,43.416944
212,OTZ,RALPH WIEN MEMORIAL AIRPORT,KOTZEBUE,AK,-162.5985,66.884694
213,PAH,BARKLEY REGIONAL AIRPORT,PADUCAH,KY,-88.772958,37.060288
214,PBG,PLATTSBURGH INTERNATIONAL AIRPORT,PLATTSBURGH,NY,-73.468139,44.650944
215,PBI,PALM BEACH INTERNATIONAL AIRPORT,WEST PALM BEACH,FL,-80.095589,26.683161
216,PDX,PORTLAND INTERNATIONAL AIRPORT,PORTLAND,OR,-122.597481,45.58853
217,PGD,CHARLOTTE COUNTY AIRPORT,PUNTA GORDA,FL,-81.990573,26.919568
218,PHF,NEWPORT NEWS/WILLIAMSBURG INTERNATIONAL AIRPORT,NEWPORT NEWS,VA,-76.492972,37.131889
219,PHL,PHILADELPHIA INTERNATIONAL AIRPORT,PHILADELPHIA,PA,-75.240866,39.872249
220,PHX,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT,PHOENIX,AZ,-112.011583,33.434278
221,PIA,GREATER PEORIA REGIONAL AIRPORT,PEORIA,IL,-89.693258,40.664201
222,PIB,HATTIESBURG-LAUREL REGIONAL AIRPORT,HATTIESBURG/LAUREL,MS,-89.337056,31.467139
223,PIH,POCATELLO REGIONAL AIRPORT,POCATELLO,ID,-112.595917,42.909806
224,PIT,PITTSBURGH INTERNATIONAL AIRPORT,PITTSBURGH,PA,-80.232861,40.491472
225,PLN,PELLSTON REGIONAL AIRPORT OF EMMET COUNTY AIRPORT,PELLSTON,MI,-84.796722,45.570917
226,PNS,PENSACOLA REGIONAL AIRPORT,PENSACOLA,FL,-87.186612,30.473426
227,PPG,PAGO PAGO INTERNATIONAL AIRPORT,TAFUNA,AS,-170.713578,-14.331389
228,PSC,TRI-CITIES AIRPORT,PASCO,WA,-119.119028,46.264694
229,PSE,MERCEDITA AIRPORT,PONCE,PR,-66.563028,18.008306
230,PSP,PALM SPRINGS INTERNATIONAL AIRPORT,PALM SPRINGS,CA,-116.506694,33.829667
231,PVD,THEODORE FRANCIS GREEN STATE AIRPORT,PROVIDENCE,RI,-71.428221,41.723999
232,PWM,PORTLAND INTERNATIONAL AIRPORT,PORTLAND,ME,-70.309278,43.646167
233,RAP,RAPID CITY REGIONAL AIRPORT,RAPID CITY,SD,-103.057361,44.045333
234,RDD,REDDING MUNICIPAL AIRPORT,REDDING,CA,-122.293389,40.509
235,RDM,ROBERTS FIELD AIRPORT,REDMOND,OR,-121.149972,44.254056
236,RDU,RALEIGH-DURHAM INTERNATIONAL AIRPORT,RALEIGH/DURHAM,NC,-78.787472,35.877639
237,RHI,RHINELANDER-ONEIDA COUNTY AIRPORT,RHINELANDER,WI,-89.466628,45.6309
238,RIC,RICHMOND INTERNATIONAL AIRPORT,RICHMOND,VA,-77.319667,37.505167
239,RKS,ROCK SPRINGS-SWEETWATER COUNTY AIRPORT,ROCK SPRINGS,WY,-109.065194,41.594222
240,RNO,RENO/TAHOE INTERNATIONAL AIRPORT,RENO,NV,-119.768111,39.499111
241,ROA,ROANOKE REGIONAL/WOODRUM FIELD AIRPORT,ROANOKE,VA,-79.975417,37.325472
242,ROC,GREATER ROCHESTER INTERNATIONAL AIRPORT,ROCHESTER,NY,-77.672389,43.118861
243,ROW,ROSWELL INTERNATIONAL AIR CENTER AIRPORT,ROSWELL,NM,-104.530556,33.301556
244,RST,ROCHESTER INTERNATIONAL AIRPORT,ROCHESTER,MN,-92.500028,43.908278
245,RSW,SOUTHWEST FLORIDA INTERNATIONAL AIRPORT,FORT MYERS,FL,-81.755167,26.536167
246,SAF,SANTA FE MUNICIPAL AIRPORT,SANTA FE,NM,-106.089423,35.617109
247,SAN,SAN DIEGO INTERNATIONAL AIRPORT,SAN DIEGO,CA,-117.189667,32.733556
248,SAT,SAN ANTONIO INTERNATIONAL AIRPORT,SAN ANTONIO,TX,-98.469778,29.533694
249,SAV,SAVANNAH/HILTON HEAD INTERNATIONAL AIRPORT,SAVANNAH,GA,-81.202139,32.127583
250,SBA,SANTA BARBARA MUNICIPAL AIRPORT,SANTA BARBARA,CA,-119.8415,34.426194
251,SBN,SOUTH BEND REGIONAL AIRPORT,SOUTH BEND,IN,-86.317333,41.708222
252,SBP,SAN LUIS COUNTY REGIONAL AIRPORT,SAN LUIS OBISPO,CA,-120.642597,35.237266
253,SCC,DEADHORSE AIRPORT,DEADHORSE,AK,-148.465167,70.19475
254,SCE,UNIVERSITY PARK AIRPORT,STATE COLLEGE,PA,-77.848694,40.849278
255,SDF,LOUISVILLE INTERNATIONAL-STANDIFORD FIELD,LOUISVILLE,KY,-85.736499,38.174086
256,SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,SEATTLE,WA,-122.311778,47.449889
257,SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,SAN FRANCISCO,CA,-122.374889,37.618972
258,SGF,SPRINGFIELD-BRANSON NATIONAL AIRPORT,SPRINGFIELD,MO,-93.388639,37.245667
259,SGU,SAINT GEORGE MUNICIPAL AIRPORT,ST GEORGE,UT,-113.593056,37.090583
260,SHV,SHREVEPORT REGIONAL AIRPORT,SHREVEPORT,LA,-93.825611,32.446611
261,SIT,SITKA ROCKY GUTIERREZ AIRPORT,SITKA,AK,-135.361611,57.047139
262,SJC,NORMAN Y. MINETA SAN JOSE INTERNATIONAL AIRPORT,SAN JOSE,CA,-121.929111,37.362667
263,SJU,LUIS MUNOZ MARIN INTERNATIONAL AIRPORT,SAN JUAN,PR,-66.001833,18.439417
264,SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,SALT LAKE CITY,UT,-111.977773,40.788388
265,SMF,SACRAMENTO INTERNATIONAL AIRPORT,SACRAMENTO,CA,-121.590778,38.695417
266,SNA,JOHN WAYNE AIRPORT-ORANGE COUNTY AIRPORT,SANTA ANA,CA,-117.868222,33.675667
267,SPI,ABRAHAM LINCOLN CAPITAL AIRPORT,SPRINGFIELD,IL,-89.67809,39.84421
